# started on Mon Apr 20 18:43:06 2020

27965860,,L1-dcache-loads,16468206,100,00,,
84213,,L1-dcache-load-misses,16468206,100,00,0,of all L1-dcache hits
# started on Mon Apr 20 18:43:07 2020

27964146,,L1-dcache-loads,19959008,100,00,,
88993,,L1-dcache-load-misses,19959008,100,00,0,of all L1-dcache hits
# started on Mon Apr 20 18:43:07 2020

27961577,,L1-dcache-loads,14680963,100,00,,
83957,,L1-dcache-load-misses,14680963,100,00,0,of all L1-dcache hits
# started on Mon Apr 20 18:43:07 2020

27966264,,L1-dcache-loads,14873423,100,00,,
83015,,L1-dcache-load-misses,14873423,100,00,0,of all L1-dcache hits
# started on Mon Apr 20 18:43:07 2020

27960702,,L1-dcache-loads,12513758,100,00,,
82434,,L1-dcache-load-misses,12513758,100,00,0,of all L1-dcache hits
# started on Mon Apr 20 18:43:08 2020

27978135,,L1-dcache-loads,14068750,100,00,,
86349,,L1-dcache-load-misses,14068750,100,00,0,of all L1-dcache hits
# started on Mon Apr 20 18:43:08 2020

27965379,,L1-dcache-loads,13758696,100,00,,
84171,,L1-dcache-load-misses,13758696,100,00,0,of all L1-dcache hits
# started on Mon Apr 20 18:43:08 2020

27965790,,L1-dcache-loads,14385304,100,00,,
84595,,L1-dcache-load-misses,14385304,100,00,0,of all L1-dcache hits
# started on Mon Apr 20 18:43:08 2020

27966410,,L1-dcache-loads,13347631,100,00,,
83062,,L1-dcache-load-misses,13347631,100,00,0,of all L1-dcache hits
# started on Mon Apr 20 18:43:08 2020

27959265,,L1-dcache-loads,15050459,100,00,,
92678,,L1-dcache-load-misses,15050459,100,00,0,of all L1-dcache hits
# started on Mon Apr 20 18:43:08 2020

27973206,,L1-dcache-loads,17190778,100,00,,
86376,,L1-dcache-load-misses,17190778,100,00,0,of all L1-dcache hits
# started on Mon Apr 20 18:43:06 2020

27970136,,L1-dcache-loads,14471955,100,00,,
84234,,L1-dcache-load-misses,14471955,100,00,0,of all L1-dcache hits
# started on Mon Apr 20 18:43:08 2020

27962723,,L1-dcache-loads,13552769,100,00,,
87348,,L1-dcache-load-misses,13552769,100,00,0,of all L1-dcache hits
# started on Mon Apr 20 18:43:06 2020

27963823,,L1-dcache-loads,15827036,100,00,,
82205,,L1-dcache-load-misses,15827036,100,00,0,of all L1-dcache hits
# started on Mon Apr 20 18:43:06 2020

27962577,,L1-dcache-loads,13068458,100,00,,
85539,,L1-dcache-load-misses,13068458,100,00,0,of all L1-dcache hits
# started on Mon Apr 20 18:43:07 2020

27969522,,L1-dcache-loads,13039693,100,00,,
84832,,L1-dcache-load-misses,13039693,100,00,0,of all L1-dcache hits
# started on Mon Apr 20 18:43:07 2020

27956873,,L1-dcache-loads,13955371,100,00,,
83367,,L1-dcache-load-misses,13955371,100,00,0,of all L1-dcache hits
# started on Mon Apr 20 18:43:07 2020

27965152,,L1-dcache-loads,13160185,100,00,,
88782,,L1-dcache-load-misses,13160185,100,00,0,of all L1-dcache hits
# started on Mon Apr 20 18:43:07 2020

27966497,,L1-dcache-loads,12959160,100,00,,
87454,,L1-dcache-load-misses,12959160,100,00,0,of all L1-dcache hits
# started on Mon Apr 20 18:43:07 2020

27961160,,L1-dcache-loads,12735406,100,00,,
82051,,L1-dcache-load-misses,12735406,100,00,0,of all L1-dcache hits
