# started on Mon Apr 20 18:50:03 2020

140446,,branch-instructions,644727,100,00,,
7754,,branch-misses,644727,100,00,5,of all branches
# started on Mon Apr 20 18:50:04 2020

137894,,branch-instructions,899366,100,00,,
7713,,branch-misses,899366,100,00,5,of all branches
# started on Mon Apr 20 18:50:04 2020

139736,,branch-instructions,650009,100,00,,
7737,,branch-misses,650009,100,00,5,of all branches
# started on Mon Apr 20 18:50:04 2020

138426,,branch-instructions,605314,100,00,,
7652,,branch-misses,605314,100,00,5,of all branches
# started on Mon Apr 20 18:50:04 2020

139371,,branch-instructions,781999,100,00,,
7881,,branch-misses,781999,100,00,5,of all branches
# started on Mon Apr 20 18:50:04 2020

140659,,branch-instructions,462352,100,00,,
7793,,branch-misses,462352,100,00,5,of all branches
# started on Mon Apr 20 18:50:04 2020

141342,,branch-instructions,657176,100,00,,
8003,,branch-misses,657176,100,00,5,of all branches
# started on Mon Apr 20 18:50:05 2020

136379,,branch-instructions,636777,100,00,,
7419,,branch-misses,636777,100,00,5,of all branches
# started on Mon Apr 20 18:50:05 2020

138487,,branch-instructions,549172,100,00,,
7153,,branch-misses,549172,100,00,5,of all branches
# started on Mon Apr 20 18:50:05 2020

138860,,branch-instructions,490687,100,00,,
7294,,branch-misses,490687,100,00,5,of all branches
# started on Mon Apr 20 18:50:05 2020

139439,,branch-instructions,523079,100,00,,
7857,,branch-misses,523079,100,00,5,of all branches
# started on Mon Apr 20 18:50:03 2020

141026,,branch-instructions,631507,100,00,,
7614,,branch-misses,631507,100,00,5,of all branches
# started on Mon Apr 20 18:50:05 2020

142041,,branch-instructions,692704,100,00,,
8516,,branch-misses,692704,100,00,6,of all branches
# started on Mon Apr 20 18:50:03 2020

136375,,branch-instructions,552288,100,00,,
6989,,branch-misses,552288,100,00,5,of all branches
# started on Mon Apr 20 18:50:03 2020

139550,,branch-instructions,676193,100,00,,
7696,,branch-misses,676193,100,00,5,of all branches
# started on Mon Apr 20 18:50:03 2020

140784,,branch-instructions,621502,100,00,,
7751,,branch-misses,621502,100,00,5,of all branches
# started on Mon Apr 20 18:50:03 2020

139051,,branch-instructions,517658,100,00,,
7814,,branch-misses,517658,100,00,5,of all branches
# started on Mon Apr 20 18:50:04 2020

139213,,branch-instructions,659548,100,00,,
7621,,branch-misses,659548,100,00,5,of all branches
# started on Mon Apr 20 18:50:04 2020

140661,,branch-instructions,668800,100,00,,
7632,,branch-misses,668800,100,00,5,of all branches
# started on Mon Apr 20 18:50:04 2020

141826,,branch-instructions,866684,100,00,,
8138,,branch-misses,866684,100,00,5,of all branches
