# started on Tue Jun  2 21:28:48 2020,,,,,,,,,,,
,,,,,,,,,,,
577912,,cache-references,2783971394,100,0,,,,,,
39383,,cache-misses,2783971394,100,0,6,of all cache refs,,,,
# started on Tue Jun  2 21:29:14 2020,,,,,,,,,,577912,39383
,,,,,,,,,,632277,34066
632277,,cache-references,2789093896,100,0,,,,,636922,40884
34066,,cache-misses,2789093896,100,0,5,of all cache refs,,,561122,39137
# started on Tue Jun  2 21:28:51 2020,,,,,,,,,,551505,32012
,,,,,,,,,,739934,52675
636922,,cache-references,2792071778,100,0,,,,,1821315,47182
40884,,cache-misses,2792071778,100,0,6,of all cache refs,,,602874,34606
# started on Tue Jun  2 21:28:54 2020,,,,,,,,,,473044,26757
,,,,,,,,,,520422,31185
561122,,cache-references,2785394079,100,0,,,,,,
39137,,cache-misses,2785394079,100,0,6,of all cache refs,,,,
# started on Tue Jun  2 21:28:57 2020,,,,,,,,,,,
,,,,,,,,,,,
551505,,cache-references,2786160911,100,0,,,,,,
32012,,cache-misses,2786160911,100,0,5,of all cache refs,,,,
# started on Tue Jun  2 21:29:00 2020,,,,,,,,,,,
,,,,,,,,,,,
739934,,cache-references,2812781356,100,0,,,,,,
52675,,cache-misses,2812781356,100,0,7,of all cache refs,,,,
# started on Tue Jun  2 21:29:03 2020,,,,,,,,,,,
,,,,,,,,,,,
1821315,,cache-references,2798129248,100,0,,,,,,
47182,,cache-misses,2798129248,100,0,2,of all cache refs,,,,
# started on Tue Jun  2 21:29:05 2020,,,,,,,,,,,
,,,,,,,,,,,
602874,,cache-references,2783903701,100,0,,,,,,
34606,,cache-misses,2783903701,100,0,5,of all cache refs,,,,
# started on Tue Jun  2 21:29:08 2020,,,,,,,,,,,
,,,,,,,,,,,
473044,,cache-references,2780021363,100,0,,,,,,
26757,,cache-misses,2780021363,100,0,5,of all cache refs,,,,
# started on Tue Jun  2 21:29:11 2020,,,,,,,,,,,
,,,,,,,,,,,
520422,,cache-references,2790499639,100,0,,,,,,
31185,,cache-misses,2790499639,100,0,5,of all cache refs,,,,
